
Host: gnode010.cluster

Timers On : Sun Aug 17 13:46:16 2025
Timers Off: Sun Aug 17 13:46:17 2025

Wall Time:        1.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: DIIS                            :      0.067u      0.033s      0.139w      6 calls
HF: Form C                          :      0.000u      0.000s      0.001w      6 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      1 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     14 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.000w      2 calls

**************************************************************************************

Host: gnode010.cluster

Timers On : Sun Aug 17 13:46:46 2025
Timers Off: Sun Aug 17 13:46:48 2025

Wall Time:        1.99 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.017u      0.000s      0.005w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      6 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.050u      0.000s      0.035w      2 calls
SAD Guess                           :      0.050u      0.000s      0.032w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     15 calls
JK: D                               :      0.000u      0.000s      0.000w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :      0.000u      0.000s      0.000w     15 calls
PK computes JK                      :      0.000u      0.000s      0.000w     15 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.000w     15 calls
HF: Form D                          :      0.000u      0.000s      0.000w     15 calls
HF: DIIS                            :      0.050u      0.000s      0.103w     13 calls
HF: Form C                          :      0.017u      0.000s      0.003w     13 calls
CIWave: CIvect write                :      0.000u      0.017s      0.010w    748 calls
CIWave: CIvect read                 :      0.000u      0.083s      0.085w   6908 calls
CIWave: s2                          :      0.000u      0.000s      0.000w     32 calls
CIWave: s1                          :      0.000u      0.000s      0.000w     32 calls
CIWave: s3                          :      0.000u      0.017s      0.009w     32 calls
CIWave: s3_mt                       :      0.000u      0.000s      0.004w    320 calls
CIWave: opdm                        :      0.000u      0.017s      0.004w      4 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.017u      0.000s      0.005w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.050u      0.000s      0.035w      2 calls
| SAD Guess                         :      0.050u      0.000s      0.032w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     15 calls
| JK: D                             :      0.000u      0.000s      0.000w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :      0.000u      0.000s      0.000w     15 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     15 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.000w     15 calls
HF: Form D                          :      0.000u      0.000s      0.000w     15 calls
HF: DIIS                            :      0.050u      0.000s      0.103w     13 calls
HF: Form C                          :      0.017u      0.000s      0.003w     13 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      2 calls
CIWave: CIvect write                :      0.000u      0.017s      0.010w    748 calls
CIWave: CIvect read                 :      0.000u      0.083s      0.084w   6544 calls
CIWave: s2                          :      0.000u      0.000s      0.000w     32 calls
CIWave: s1                          :      0.000u      0.000s      0.000w     32 calls
CIWave: s3                          :      0.000u      0.017s      0.009w     32 calls
| CIWave: s3_mt                     :      0.000u      0.000s      0.004w    320 calls
CIWave: opdm                        :      0.000u      0.017s      0.004w      4 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.002w    364 calls

**************************************************************************************

Host: gnode010.cluster

Timers On : Sun Aug 17 13:48:43 2025
Timers Off: Sun Aug 17 13:48:45 2025

Wall Time:        2.39 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.000u      0.000s      0.005w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      6 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      2 calls
HF: Form S/X                        :      0.000u      0.017s      0.000w      2 calls
HF: Guess                           :      0.067u      0.000s      0.035w      2 calls
SAD Guess                           :      0.067u      0.000s      0.033w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     15 calls
JK: D                               :      0.000u      0.000s      0.000w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :      0.000u      0.000s      0.000w     15 calls
PK computes JK                      :      0.000u      0.000s      0.000w     15 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.000w     15 calls
HF: Form D                          :      0.000u      0.000s      0.000w     15 calls
HF: DIIS                            :      0.100u      0.017s      0.158w     13 calls
HF: Form C                          :      0.000u      0.000s      0.003w     13 calls
CIWave: CIvect write                :      0.000u      0.000s      0.004w    748 calls
CIWave: CIvect read                 :      0.017u      0.000s      0.037w   6908 calls
CIWave: s2                          :      0.000u      0.000s      0.000w     32 calls
CIWave: s1                          :      0.000u      0.000s      0.000w     32 calls
CIWave: s3                          :      0.000u      0.017s      0.005w     32 calls
CIWave: s3_mt                       :      0.000u      0.000s      0.002w    320 calls
CIWave: opdm                        :      0.017u      0.000s      0.003w      4 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.000u      0.000s      0.005w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      2 calls
HF: Form S/X                        :      0.000u      0.017s      0.000w      2 calls
HF: Guess                           :      0.067u      0.000s      0.035w      2 calls
| SAD Guess                         :      0.067u      0.000s      0.033w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     15 calls
| JK: D                             :      0.000u      0.000s      0.000w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :      0.000u      0.000s      0.000w     15 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     15 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.000w     15 calls
HF: Form D                          :      0.000u      0.000s      0.000w     15 calls
HF: DIIS                            :      0.100u      0.017s      0.158w     13 calls
HF: Form C                          :      0.000u      0.000s      0.003w     13 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      2 calls
CIWave: CIvect write                :      0.000u      0.000s      0.004w    748 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.036w   6544 calls
CIWave: s2                          :      0.000u      0.000s      0.000w     32 calls
CIWave: s1                          :      0.000u      0.000s      0.000w     32 calls
CIWave: s3                          :      0.000u      0.017s      0.005w     32 calls
| CIWave: s3_mt                     :      0.000u      0.000s      0.002w    320 calls
CIWave: opdm                        :      0.017u      0.000s      0.003w      4 calls
| CIWave: CIvect read               :      0.017u      0.000s      0.001w    364 calls

**************************************************************************************

Host: gnode010.cluster

Timers On : Sun Aug 17 13:49:21 2025
Timers Off: Sun Aug 17 13:49:23 2025

Wall Time:        2.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.033u      0.000s      0.005w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      6 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.050u      0.000s      0.035w      2 calls
SAD Guess                           :      0.050u      0.000s      0.033w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     15 calls
JK: D                               :      0.000u      0.000s      0.000w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :      0.000u      0.000s      0.000w     15 calls
PK computes JK                      :      0.000u      0.000s      0.000w     15 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.000w     15 calls
HF: Form D                          :      0.000u      0.000s      0.000w     15 calls
HF: DIIS                            :      0.067u      0.017s      0.113w     13 calls
HF: Form C                          :      0.000u      0.000s      0.003w     13 calls
CIWave: CIvect write                :      0.000u      0.033s      0.008w    748 calls
CIWave: CIvect read                 :      0.000u      0.117s      0.068w   6908 calls
CIWave: s2                          :      0.000u      0.000s      0.000w     32 calls
CIWave: s1                          :      0.000u      0.000s      0.000w     32 calls
CIWave: s3                          :      0.000u      0.017s      0.008w     32 calls
CIWave: s3_mt                       :      0.000u      0.017s      0.004w    320 calls
CIWave: opdm                        :      0.000u      0.000s      0.003w      4 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.033u      0.000s      0.005w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.050u      0.000s      0.035w      2 calls
| SAD Guess                         :      0.050u      0.000s      0.033w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     15 calls
| JK: D                             :      0.000u      0.000s      0.000w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :      0.000u      0.000s      0.000w     15 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     15 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.000w     15 calls
HF: Form D                          :      0.000u      0.000s      0.000w     15 calls
HF: DIIS                            :      0.067u      0.017s      0.113w     13 calls
HF: Form C                          :      0.000u      0.000s      0.003w     13 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      2 calls
CIWave: CIvect write                :      0.000u      0.033s      0.008w    748 calls
CIWave: CIvect read                 :      0.000u      0.117s      0.067w   6544 calls
CIWave: s2                          :      0.000u      0.000s      0.000w     32 calls
CIWave: s1                          :      0.000u      0.000s      0.000w     32 calls
CIWave: s3                          :      0.000u      0.017s      0.008w     32 calls
| CIWave: s3_mt                     :      0.000u      0.017s      0.004w    320 calls
CIWave: opdm                        :      0.000u      0.000s      0.003w      4 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.001w    364 calls

**************************************************************************************

Host: gnode010.cluster

Timers On : Sun Aug 17 14:01:35 2025
Timers Off: Sun Aug 17 14:01:37 2025

Wall Time:        1.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.000u      0.000s      0.004w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      6 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.067u      0.000s      0.033w      2 calls
SAD Guess                           :      0.050u      0.000s      0.031w      2 calls
HF: Form G                          :      0.017u      0.000s      0.001w     13 calls
JK: D                               :      0.000u      0.000s      0.000w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     13 calls
JK: JK                              :      0.000u      0.000s      0.000w     13 calls
PK computes JK                      :      0.000u      0.000s      0.000w     13 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.000w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.067u      0.017s      0.127w     11 calls
HF: Form C                          :      0.000u      0.000s      0.002w     11 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     98 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.002w    476 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s1                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3_mt                       :      0.000u      0.000s      0.000w     24 calls
CIWave: opdm                        :      0.000u      0.000s      0.000w      4 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.000u      0.000s      0.004w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.006w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.067u      0.000s      0.033w      2 calls
| SAD Guess                         :      0.050u      0.000s      0.031w      2 calls
HF: Form G                          :      0.017u      0.000s      0.001w     13 calls
| JK: D                             :      0.000u      0.000s      0.000w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     13 calls
| JK: JK                            :      0.000u      0.000s      0.000w     13 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.000w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.067u      0.017s      0.127w     11 calls
HF: Form C                          :      0.000u      0.000s      0.002w     11 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      2 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     98 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.002w    436 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s1                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.000u      0.000s      0.000w      8 calls
| CIWave: s3_mt                     :      0.000u      0.000s      0.000w     24 calls
CIWave: opdm                        :      0.000u      0.000s      0.000w      4 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w     40 calls

**************************************************************************************

Host: gnode010.cluster

Timers On : Sun Aug 17 14:01:40 2025
Timers Off: Sun Aug 17 14:01:41 2025

Wall Time:        1.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.000u      0.000s      0.002w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.010w      1 calls
SAD Guess                           :      0.017u      0.000s      0.008w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w      3 calls
JK: D                               :      0.000u      0.000s      0.000w      3 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      3 calls
JK: JK                              :      0.000u      0.000s      0.000w      3 calls
PK computes JK                      :      0.000u      0.000s      0.000w      3 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      3 calls
HF: Form F                          :      0.000u      0.000s      0.000w      3 calls
HF: Form D                          :      0.000u      0.000s      0.000w      3 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      2 calls
HF: Form C                          :      0.000u      0.000s      0.000w      2 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.000u      0.000s      0.002w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.010w      1 calls
| SAD Guess                         :      0.017u      0.000s      0.008w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w      3 calls
| JK: D                             :      0.000u      0.000s      0.000w      3 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      3 calls
| JK: JK                            :      0.000u      0.000s      0.000w      3 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      3 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      3 calls
HF: Form F                          :      0.000u      0.000s      0.000w      3 calls
HF: Form D                          :      0.000u      0.000s      0.000w      3 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      2 calls
HF: Form C                          :      0.000u      0.000s      0.000w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: gnode010.cluster

Timers On : Sun Aug 17 15:23:57 2025
Timers Off: Sun Aug 17 15:23:58 2025

Wall Time:        1.20 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: gnode010.cluster

Timers On : Sun Aug 17 15:24:16 2025
Timers Off: Sun Aug 17 15:24:18 2025

Wall Time:        1.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.000u      0.000s      0.002w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.010w      1 calls
SAD Guess                           :      0.017u      0.000s      0.009w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w      3 calls
JK: D                               :      0.000u      0.000s      0.000w      3 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      3 calls
JK: JK                              :      0.000u      0.000s      0.000w      3 calls
PK computes JK                      :      0.000u      0.000s      0.000w      3 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      3 calls
HF: Form F                          :      0.000u      0.000s      0.000w      3 calls
HF: Form D                          :      0.000u      0.000s      0.000w      3 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      2 calls
HF: Form C                          :      0.000u      0.000s      0.000w      2 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.000u      0.000s      0.002w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.000s      0.010w      1 calls
| SAD Guess                         :      0.017u      0.000s      0.009w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w      3 calls
| JK: D                             :      0.000u      0.000s      0.000w      3 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      3 calls
| JK: JK                            :      0.000u      0.000s      0.000w      3 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      3 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      3 calls
HF: Form F                          :      0.000u      0.000s      0.000w      3 calls
HF: Form D                          :      0.000u      0.000s      0.000w      3 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      2 calls
HF: Form C                          :      0.000u      0.000s      0.000w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: gnode010.cluster

Timers On : Sun Aug 17 15:24:31 2025
Timers Off: Sun Aug 17 15:24:33 2025

Wall Time:        1.20 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.017u      0.000s      0.002w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.010w      1 calls
SAD Guess                           :      0.000u      0.000s      0.009w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w      3 calls
JK: D                               :      0.000u      0.000s      0.000w      3 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      3 calls
JK: JK                              :      0.000u      0.000s      0.000w      3 calls
PK computes JK                      :      0.000u      0.000s      0.000w      3 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      3 calls
HF: Form F                          :      0.000u      0.000s      0.000w      3 calls
HF: Form D                          :      0.000u      0.000s      0.000w      3 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      2 calls
HF: Form C                          :      0.000u      0.000s      0.000w      2 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.017u      0.000s      0.002w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.010w      1 calls
| SAD Guess                         :      0.000u      0.000s      0.009w      1 calls
HF: Form G                          :      0.000u      0.000s      0.000w      3 calls
| JK: D                             :      0.000u      0.000s      0.000w      3 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      3 calls
| JK: JK                            :      0.000u      0.000s      0.000w      3 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      3 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      3 calls
HF: Form F                          :      0.000u      0.000s      0.000w      3 calls
HF: Form D                          :      0.000u      0.000s      0.000w      3 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      2 calls
HF: Form C                          :      0.000u      0.000s      0.000w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: gnode010.cluster

Timers On : Sun Aug 17 15:25:31 2025
Timers Off: Sun Aug 17 15:25:33 2025

Wall Time:        1.62 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.017u      0.000s      0.004w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      6 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.017u      0.017s      0.018w      2 calls
SAD Guess                           :      0.017u      0.017s      0.016w      2 calls
HF: Form G                          :      0.000u      0.000s      0.000w      6 calls
JK: D                               :      0.000u      0.000s      0.000w      6 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      6 calls
JK: JK                              :      0.000u      0.000s      0.000w      6 calls
PK computes JK                      :      0.000u      0.000s      0.000w      6 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      6 calls
HF: Form F                          :      0.000u      0.000s      0.000w      6 calls
HF: Form D                          :      0.000u      0.000s      0.000w      6 calls
HF: DIIS                            :      0.017u      0.000s      0.010w      4 calls
HF: Form C                          :      0.000u      0.000s      0.001w      4 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     36 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.000w    108 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      6 calls
CIWave: s1                          :      0.000u      0.000s      0.000w     12 calls
CIWave: s3                          :      0.000u      0.000s      0.000w     12 calls
CIWave: s3_mt                       :      0.000u      0.000s      0.000w     12 calls
CIWave: opdm                        :      0.000u      0.000s      0.000w      4 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.017u      0.000s      0.004w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.017u      0.017s      0.018w      2 calls
| SAD Guess                         :      0.017u      0.017s      0.016w      2 calls
HF: Form G                          :      0.000u      0.000s      0.000w      6 calls
| JK: D                             :      0.000u      0.000s      0.000w      6 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      6 calls
| JK: JK                            :      0.000u      0.000s      0.000w      6 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w      6 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      6 calls
HF: Form F                          :      0.000u      0.000s      0.000w      6 calls
HF: Form D                          :      0.000u      0.000s      0.000w      6 calls
HF: DIIS                            :      0.017u      0.000s      0.010w      4 calls
HF: Form C                          :      0.000u      0.000s      0.001w      4 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      2 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     36 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.000w    104 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      6 calls
CIWave: s1                          :      0.000u      0.000s      0.000w     12 calls
CIWave: s3                          :      0.000u      0.000s      0.000w     12 calls
| CIWave: s3_mt                     :      0.000u      0.000s      0.000w     12 calls
CIWave: opdm                        :      0.000u      0.000s      0.000w      4 calls
| CIWave: CIvect read               :      0.000u      0.000s      0.000w      4 calls

**************************************************************************************

Host: gnode010.cluster

Timers On : Sun Aug 17 15:25:50 2025
Timers Off: Sun Aug 17 15:25:51 2025

Wall Time:        1.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.000u      0.000s      0.004w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      6 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.033u      0.000s      0.018w      2 calls
SAD Guess                           :      0.033u      0.000s      0.016w      2 calls
HF: Form G                          :      0.000u      0.000s      0.000w      6 calls
JK: D                               :      0.000u      0.000s      0.000w      6 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      6 calls
JK: JK                              :      0.000u      0.000s      0.000w      6 calls
PK computes JK                      :      0.000u      0.000s      0.000w      6 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      6 calls
HF: Form F                          :      0.000u      0.000s      0.000w      6 calls
HF: Form D                          :      0.000u      0.000s      0.000w      6 calls
HF: DIIS                            :      0.017u      0.000s      0.010w      4 calls
HF: Form C                          :      0.000u      0.000s      0.001w      4 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     36 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.000w    108 calls
